ID,formula,gen_formula,space_group,segments,flat_segments,flatness_score,discovery,binary_flatness,horz_flat_seg,exfoliation_eg,decomp_eng,band_gap,point_group,crystal,A,B,C,D,E,F,radio,f_orb,sg_sto_group,percentage_flat,relative_id,crystal_system,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,fx,fy
2dm-1,IrF2,AB2,164,3,0,0.095102,bottom-up,0,0,0.23462,0.7998,0.0,-3m,trigonal,F,Ir,,,,,non-radioactive,no-f-in-valence,,,2dm-4963,trigonal,0.4752216041088104,0.5084079504013062,0.5071660876274109,0.5080626606941223,0.48780739307403564,0.5083140730857849,0.4964344799518585,0.6493746638298035,0.5009151101112366,0.5036225914955139,0.5194963216781616,0.515073299407959,0.49271658062934875,0.5037171244621277,0.4743503928184509,0.5125595927238464,0.5009457468986511,0.4711938798427582,0.4757668972015381,0.5491462349891663,0.5065221786499023,0.516123354434967,0.5110523700714111,0.5011672377586365,0.5219466686248779,0.4961496889591217,0.48485317826271057,0.5185776948928833,0.48873281478881836,0.5005922317504883,0.481656014919281,0.48425278067588806,-9.731618,108.15132
2dm-2,Ba2Sb,AB2,164,3,1,0.38741,bottom-up,0,0,0.21065,0.30002,0.0,-3m,trigonal,Ba,Sb,,,,,non-radioactive,no-f-in-valence,,,2dm-3279,trigonal,0.5204516649246216,0.4989432990550995,0.49379032850265503,0.5373516082763672,0.5003827810287476,0.5046142339706421,0.4901767373085022,0.3462023138999939,0.513083815574646,0.47154632210731506,0.5174937844276428,0.5620150566101074,0.5016648173332214,0.4889242947101593,0.5003440380096436,0.48281148076057434,0.5323511362075806,0.493715763092041,0.5081920623779297,0.6459521055221558,0.487958163022995,0.4766073226928711,0.506006121635437,0.4926758110523224,0.48156455159187317,0.5102518796920776,0.533324658870697,0.5020513534545898,0.5237026810646057,0.5094889402389526,0.5101653337478638,0.4898574650287628,-36.076206,-86.12587
2dm-3,TlS,AB,2,4,4,0.84646,bottom-up,1,3,0.095794,0.17741,0.9814,-1,triclinic,S,Tl,,,,,non-radioactive,no-f-in-valence,276.0,24.2,2dm-5155,triclinic,0.5171146392822266,0.4913533926010132,0.5036574006080627,0.5043197870254517,0.5036963224411011,0.5011113286018372,0.4941789209842682,0.36783698201179504,0.49866995215415955,0.4875456988811493,0.4844476878643036,0.4896778166294098,0.49910789728164673,0.5000203847885132,0.5063691139221191,0.495189905166626,0.5038585662841797,0.5197269320487976,0.5133203864097595,0.4714391827583313,0.49033987522125244,0.48674166202545166,0.49260714650154114,0.5042579770088196,0.4902121424674988,0.501530647277832,0.5368834733963013,0.4911321699619293,0.501757025718689,0.4972725510597229,0.5109737515449524,0.5233089327812195,11.57335,-31.641958
2dm-4,MoCl2,AB2,166,5,4,0.71376,bottom-up,0,0,-0.055818,0.48582,0.0,2/m,trigonal,Cl,Mo,,,,,non-radioactive,no-f-in-valence,,,2dm-4342,trigonal,0.5160964727401733,0.5115329027175903,0.5136204361915588,0.5227506756782532,0.5047208070755005,0.5039271116256714,0.497831255197525,0.5429348349571228,0.5129151344299316,0.4776251018047333,0.5157918334007263,0.5376845598220825,0.49989524483680725,0.5025327801704407,0.4882349669933319,0.49692413210868835,0.5122650265693665,0.4930616617202759,0.4993581771850586,0.6455581784248352,0.5069572925567627,0.4910128116607666,0.5065529942512512,0.49478012323379517,0.5002663731575012,0.5038322806358337,0.49748796224594116,0.5099678039550781,0.5209569931030273,0.5117713212966919,0.5077062249183655,0.48932361602783203,-105.166016,13.866449
2dm-6,RuI2,AB2,164,3,1,0.26493,bottom-up,0,0,0.084831,0.011699,1.1619,-3m,trigonal,I,Ru,,,,,non-radioactive,no-f-in-valence,,,2dm-3574,trigonal,0.4988339841365814,0.5109124183654785,0.5132442712783813,0.5209185481071472,0.5029359459877014,0.5025177001953125,0.5007110238075256,0.5969482660293579,0.510775089263916,0.48529013991355896,0.514863908290863,0.5225512981414795,0.5016577243804932,0.504395604133606,0.48411449790000916,0.5063124299049377,0.5045459866523743,0.4851565361022949,0.49108782410621643,0.5993837118148804,0.5092944502830505,0.49921587109565735,0.508742094039917,0.4953337609767914,0.5092664361000061,0.4954124391078949,0.4883303940296173,0.5161832571029663,0.5109378099441528,0.5101302862167358,0.4997422695159912,0.4841899871826172,-27.715624,60.497726
2dm-7,TcTe2,AB2,164,3,0,0.12034,bottom-up,0,0,0.07163,0.030885,0.0,-3m,trigonal,Tc,Te,,,,,non-radioactive,no-f-in-valence,,,2dm-4839,trigonal,0.5043179988861084,0.51054847240448,0.5145412683486938,0.5206282734870911,0.5040847659111023,0.5026353597640991,0.500037670135498,0.5862104892730713,0.5107570886611938,0.4836913049221039,0.5159770250320435,0.5260626077651978,0.500799298286438,0.5043278336524963,0.483995258808136,0.5032448172569275,0.5050763487815857,0.4870428144931793,0.49271565675735474,0.6139937043190002,0.5086945295333862,0.49837031960487366,0.5082415342330933,0.4962865710258484,0.5069662928581238,0.4980129599571228,0.4900038540363312,0.5139895677566528,0.513439953327179,0.5105677843093872,0.5027409195899963,0.4857471287250519,-53.710354,47.89922
2dm-8,TcSe2,AB2,164,3,1,0.20749,bottom-up,0,0,0.067149,0.0,0.0,-3m,trigonal,Se,Tc,,,,,non-radioactive,no-f-in-valence,,,2dm-4839,trigonal,0.49894043803215027,0.5107576847076416,0.512794554233551,0.5202735066413879,0.5038123726844788,0.5026367902755737,0.5005021691322327,0.6005105376243591,0.5114626288414001,0.4850679636001587,0.5169175267219543,0.524040937423706,0.5016768574714661,0.5040322542190552,0.484033465385437,0.5063460469245911,0.5053122639656067,0.4853225350379944,0.4909025728702545,0.606401801109314,0.5083123445510864,0.4997771680355072,0.5079720616340637,0.4949413239955902,0.5090843439102173,0.4963151812553406,0.48717358708381653,0.5162529349327087,0.5121310353279114,0.5110330581665039,0.49957239627838135,0.48392584919929504,-27.824577,66.20806
2dm-10,SiBr4,AB4,123,3,1,0.34101,bottom-up,0,0,0.12852,0.51393,0.2086,4/mmm,tetragonal,Br,Si,,,,,non-radioactive,no-f-in-valence,,,2dm-4359,tetragonal,0.5150647163391113,0.5104174613952637,0.5147379636764526,0.5260244607925415,0.5015227794647217,0.5029531121253967,0.49969977140426636,0.541072428226471,0.5114330649375916,0.47565391659736633,0.5109056234359741,0.5337270498275757,0.4998381733894348,0.5049184560775757,0.4864635765552521,0.4964522421360016,0.5056607127189636,0.4937363266944885,0.4990912675857544,0.6206579208374023,0.5107707977294922,0.49031132459640503,0.5087783336639404,0.49529802799224854,0.503099262714386,0.4977339506149292,0.4964389503002167,0.5115981698036194,0.5148621201515198,0.5083381533622742,0.5060561895370483,0.48865407705307007,-91.96003,13.120809
2dm-11,SrO2,AB2,123,3,0,0.072811,bottom-up,0,0,0.21765,0.091334,2.9398,4/mmm,tetragonal,O,Sr,,,,,non-radioactive,no-f-in-valence,,,2dm-4188,tetragonal,0.4699322283267975,0.5088120698928833,0.5048286318778992,0.5067368745803833,0.48718395829200745,0.5092633366584778,0.494865745306015,0.6634519100189209,0.4990490972995758,0.5065295696258545,0.5222426652908325,0.5163878798484802,0.49278441071510315,0.5026734471321106,0.4723524749279022,0.5139532089233398,0.5004382729530334,0.46710333228111267,0.47411346435546875,0.5513580441474915,0.5024355053901672,0.5190001130104065,0.5100929141044617,0.5010414123535156,0.5227113962173462,0.4969068169593811,0.4805300831794739,0.5210999846458435,0.48537477850914,0.49959108233451843,0.47781237959861755,0.4821656048297882,-9.625437,111.22159
2dm-12,TaCl4,AB4,123,3,2,0.63376,bottom-up,0,0,0.096811,0.23882,0.0,4/mmm,tetragonal,Cl,Ta,,,,,non-radioactive,no-f-in-valence,,,2dm-3290,tetragonal,0.5101567506790161,0.5120077729225159,0.5126141905784607,0.5255297422409058,0.5026124119758606,0.5027759671211243,0.49925023317337036,0.5559696555137634,0.5119814276695251,0.478320449590683,0.5112954378128052,0.5320197939872742,0.5016108155250549,0.5036686658859253,0.48540976643562317,0.49988415837287903,0.5059758424758911,0.49104511737823486,0.4972369372844696,0.6167854070663452,0.5104396343231201,0.49264422059059143,0.5071695446968079,0.49536141753196716,0.5054033994674683,0.4983040690422058,0.4944053292274475,0.5138325691223145,0.5127651691436768,0.5101717710494995,0.5036619305610657,0.48634567856788635,-83.79287,31.943989
